order,replicate,arm_id,run_id,attempt_number,sequence,trace_line,call_index,event,tool,paths,summary,attempt_resolved,hidden_passed,hidden_total,failed_probe_ids
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,1,12,1,search,shell_command,,"{""command"":""rg --files"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,2,19,1,file_read,shell_command,src//reservation_fixture//api//reservation.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\api\\reservation.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,3,20,1,file_read,shell_command,src//reservation_fixture//events//audit.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\events\\audit.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,4,21,1,file_read,shell_command,src//reservation_fixture//api//schemas.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\api\\schemas.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,5,22,1,file_read,shell_command,src//reservation_fixture//api//serializer.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\api\\serializer.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,6,23,1,file_read,shell_command,src//reservation_fixture//reservation//service.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\reservation\\service.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,7,24,1,file_read,shell_command,tests//test_service.py,"{""command"":""Get-Content -Raw tests\\test_service.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,8,34,1,file_read,shell_command,src//reservation_fixture//reservation//ports.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\reservation\\ports.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,9,35,1,file_read,shell_command,src//reservation_fixture//reservation//idempotency.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\reservation\\idempotency.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,10,36,1,file_read,shell_command,src//reservation_fixture//repositories//memory.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\repositories\\memory.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,11,37,1,file_read,shell_command,src//reservation_fixture//events//publisher.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\events\\publisher.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,12,38,1,file_read,shell_command,src//reservation_fixture//fixtures.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\fixtures.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,13,39,1,file_read,shell_command,tests//test_repositories.py,"{""command"":""Get-Content -Raw tests\\test_repositories.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,14,50,1,file_read,shell_command,src//reservation_fixture//domain//models.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\domain\\models.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,15,51,1,file_read,shell_command,src//reservation_fixture//domain//money.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\domain\\money.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,16,52,1,file_read,shell_command,src//reservation_fixture//domain//errors.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\domain\\errors.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,17,53,1,file_read,shell_command,src//reservation_fixture//legacy//reservation.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\legacy\\reservation.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,18,54,1,file_read,shell_command,tests//test_allocation.py,"{""command"":""Get-Content -Raw tests\\test_allocation.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,19,55,1,file_read,shell_command,README.md,"{""command"":""Get-Content -Raw README.md"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,20,68,1,file_read,shell_command,pyproject.toml,"{""command"":""Get-Content -Raw pyproject.toml"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,21,69,1,file_read,shell_command,src//reservation_fixture//allocation//engine.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\allocation\\engine.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,22,78,1,edit,apply_patch,D:/code/workspace/half-experiment-runs/reservation-v3/D_no_verification/20260716T082827Z-2f2748ba/workspace/src/reservation_fixture/events/audit.py,*** Begin Patch *** Update File: D:\code\workspace\half-experiment-runs\reservation-v3\D_no_verification\20260716T082827Z-2f2748ba\workspace\src\reservation_fixture\events\audit.py @@ from reservation_fixture.domain.models import Reserva...,0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,23,82,1,edit,apply_patch,D:/code/workspace/half-experiment-runs/reservation-v3/D_no_verification/20260716T082827Z-2f2748ba/workspace/src/reservation_fixture/api/reservation.py,"*** Begin Patch *** Update File: D:\code\workspace\half-experiment-runs\reservation-v3\D_no_verification\20260716T082827Z-2f2748ba\workspace\src\reservation_fixture\api\reservation.py @@ from typing import Any, Callable +from reservation...",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,24,87,1,test_run|edit,apply_patch,D:/code/workspace/half-experiment-runs/reservation-v3/D_no_verification/20260716T082827Z-2f2748ba/workspace/tests/test_api_reservation.py,*** Begin Patch *** Add File: D:\code\workspace\half-experiment-runs\reservation-v3\D_no_verification\20260716T082827Z-2f2748ba\workspace\tests\test_api_reservation.py +from copy import deepcopy + +import pytest + +from reservation_fixtu...,0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,25,94,1,test_run,shell_command,,"{""command"":""python -m pytest"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":120000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,26,101,1,search,shell_command,,"{""command"":""rg \""reserve_order|record_reservation_audit|reservation.created\"" -n src tests"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,27,102,1,file_read,shell_command,src//reservation_fixture//api//reservation.py,"{""command"":""$i=1; Get-Content src\\reservation_fixture\\api\\reservation.py | ForEach-Object { '{0,4}: {1}' -f $i, $_; $i++ }"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f27...",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,28,103,1,file_read,shell_command,src//reservation_fixture//events//audit.py,"{""command"":""$i=1; Get-Content src\\reservation_fixture\\events\\audit.py | ForEach-Object { '{0,4}: {1}' -f $i, $_; $i++ }"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748b...",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,29,,,evaluation,HALF private evaluator,,public 20/20; hidden 9/10,0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,2,1,11,1,file_read,shell_command,src//reservation_fixture//allocation//policies.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\allocation\\policies.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,2,2,12,1,file_read,shell_command,src//reservation_fixture//api//schemas.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\api\\schemas.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,2,3,13,1,file_read,shell_command,src//reservation_fixture//api//serializer.py,"{""command"":""Get-Content -Raw src\\reservation_fixture\\api\\serializer.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,2,4,14,1,file_read,shell_command,tests//test_allocation.py,"{""command"":""Get-Content -Raw tests\\test_allocation.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,2,5,25,1,search,shell_command,README.md,"{""command"":""rg \""warehouse|preferred|alias|reservation_to_dict|idempotency|legacy\"" -n src tests README.md"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""t...",0,9,10,test_verify_01_preserves_warehouse_alias
1,1,D_no_verification,20260716T082827Z-2f2748ba,2,6,26,1,file_read,shell_command,tests//test_models.py,"{""command"":""Get-Content -Raw tests\\test_models.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v3\\D_no_verification\\20260716T082827Z-2f2748ba\\workspace"",""timeout_ms"":10000}",0,9,10,test_verify_01_preserves_warehouse_alias
